cu_num,M,N,K,kernelId,splitK,us,kernelName
304,128,256,7168,195,1,12.3209,a8w8_blockscale_bruteforce_1x128x128_256x32x32x512_16x16_16x16_16x16x1_16x16x1_1x32x1x8_4_1x1_intrawave_v1
304,128,512,128,130,2,3.498,a8w8_blockscale_bruteforce_1x128x128_256x32x32x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x1_intrawave_v1
304,128,2112,7168,478,3,15.6266,a8w8_blockscale_bruteforce_1x128x128_256x32x64x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_8_1x2_intrawave_v1
304,128,4096,7168,415,0,27.3952,a8w8_blockscale_bruteforce_1x128x128_256x32x64x512_16x16_16x16_16x16x1_32x8x1_1x16x1x16_4_1x2_intrawave_v1
304,128,7168,2048,1997,2,13.6786,a8w8_blockscale_bruteforce_1x128x128_256x64x64x256_16x16_16x16_8x32x1_8x32x1_1x16x1x16_4_1x4_intrawave_v1
304,128,7168,16384,2147,1,78.3012,a8w8_blockscale_bruteforce_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_1x4_intrawave_v1
304,128,24576,1536,7393,2,29.9529,a8w8_blockscale_bruteforce_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_4_4x2_intrawave_v1
304,136,4096,7168,3214,3,30.6226,a8w8_blockscale_bruteforce_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1
304,136,7168,2048,1085,1,18.124,a8w8_blockscale_bruteforce_1x128x128_256x32x128x256_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1
304,160,128,512,234,1,3.4048,a8w8_blockscale_bruteforce_1x128x128_256x32x32x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,160,256,7168,234,0,12.2853,a8w8_blockscale_bruteforce_1x128x128_256x32x32x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,160,512,128,130,0,2.9673,a8w8_blockscale_bruteforce_1x128x128_256x32x32x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x1_intrawave_v1
304,160,2112,7168,477,1,18.8665,a8w8_blockscale_bruteforce_1x128x128_256x32x64x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,160,4096,7168,3214,1,33.9294,a8w8_blockscale_bruteforce_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1
304,160,7168,2048,910,2,17.4304,a8w8_blockscale_bruteforce_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x8x1x32_4_1x4_intrawave_v1
304,160,7168,16384,922,1,100.4863,a8w8_blockscale_bruteforce_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x4_intrawave_v1
304,160,24576,1536,3293,3,35.7884,a8w8_blockscale_bruteforce_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x2_intrawave_v3
304,192,128,512,234,1,3.9968,a8w8_blockscale_bruteforce_1x128x128_256x32x32x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,192,256,7168,234,0,12.5408,a8w8_blockscale_bruteforce_1x128x128_256x32x32x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,192,512,128,130,0,2.9565,a8w8_blockscale_bruteforce_1x128x128_256x32x32x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x1_intrawave_v1
304,192,2112,7168,1813,2,20.2793,a8w8_blockscale_bruteforce_1x128x128_256x64x32x512_16x16_16x16_32x8x1_8x32x1_1x32x1x8_4_1x2_intrawave_v1
304,192,4096,7168,2131,2,31.5071,a8w8_blockscale_bruteforce_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x4_intrawave_v1
304,192,7168,2048,2518,3,19.7947,a8w8_blockscale_bruteforce_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_2x2_intrawave_v1
304,192,7168,16384,2549,1,123.4511,a8w8_blockscale_bruteforce_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_4_2x1_intrawave_v1
304,192,24576,1536,3452,3,36.1751,a8w8_blockscale_bruteforce_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_4_1x2_intrawave_v3
304,224,128,512,135,1,3.4173,a8w8_blockscale_bruteforce_1x128x128_256x32x32x256_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x1_intrawave_v1
304,224,256,7168,234,1,12.3797,a8w8_blockscale_bruteforce_1x128x128_256x32x32x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,224,512,128,124,1,3.5853,a8w8_blockscale_bruteforce_1x128x128_256x32x32x128_8x8_16x16_8x32x1_8x32x1_1x32x1x8_4_1x1_intrawave_v1
304,224,2112,7168,415,0,22.5304,a8w8_blockscale_bruteforce_1x128x128_256x32x64x512_16x16_16x16_16x16x1_32x8x1_1x16x1x16_4_1x2_intrawave_v1
304,224,4096,7168,921,1,37.2101,a8w8_blockscale_bruteforce_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x2_intrawave_v1
304,224,7168,2048,3454,3,22.0525,a8w8_blockscale_bruteforce_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_8_1x4_intrawave_v3
304,224,7168,16384,4525,0,141.7366,a8w8_blockscale_bruteforce_1x128x128_256x64x128x128_16x16_32x32_8x32x1_8x32x1_1x16x1x16_4_1x1_intrawave_v3
304,224,24576,1536,3412,1,49.9879,a8w8_blockscale_bruteforce_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x8x1x32_4_1x4_intrawave_v3
304,256,128,512,234,1,3.4465,a8w8_blockscale_bruteforce_1x128x128_256x32x32x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,256,256,7168,234,1,12.6026,a8w8_blockscale_bruteforce_1x128x128_256x32x32x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,256,512,128,126,0,3.6016,a8w8_blockscale_bruteforce_1x128x128_256x32x32x128_8x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x1_intrawave_v1
304,256,2112,7168,415,3,26.1704,a8w8_blockscale_bruteforce_1x128x128_256x32x64x512_16x16_16x16_16x16x1_32x8x1_1x16x1x16_4_1x2_intrawave_v1
304,256,4096,7168,2131,1,35.8662,a8w8_blockscale_bruteforce_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x4_intrawave_v1
304,256,7168,2048,2146,3,22.106,a8w8_blockscale_bruteforce_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_4_1x2_intrawave_v1
304,256,7168,16384,2146,2,127.7301,a8w8_blockscale_bruteforce_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_4_1x2_intrawave_v1
304,256,24576,1536,5875,3,47.9756,a8w8_blockscale_bruteforce_1x128x128_256x128x64x128_16x8_16x16_8x32x1_8x32x1_1x16x1x16_4_1x4_intrawave_v3
304,288,128,512,234,2,3.9837,a8w8_blockscale_bruteforce_1x128x128_256x32x32x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,288,256,7168,234,0,12.5419,a8w8_blockscale_bruteforce_1x128x128_256x32x32x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,288,512,128,126,0,3.0112,a8w8_blockscale_bruteforce_1x128x128_256x32x32x128_8x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x1_intrawave_v1
304,288,2112,7168,415,1,27.1739,a8w8_blockscale_bruteforce_1x128x128_256x32x64x512_16x16_16x16_16x16x1_32x8x1_1x16x1x16_4_1x2_intrawave_v1
304,288,4096,7168,1439,2,42.6316,a8w8_blockscale_bruteforce_1x128x128_256x32x128x256_16x16_32x32_16x16x1_16x16x1_1x16x1x16_8_1x1_intrawave_v1
