cu_num,M,N,K,kernelId,splitK,us,kernelName
304,36864,1536,7168,7067,1,1004.7859,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_4_1x4_intrawave_v3
304,36864,3072,1536,7460,3,469.7461,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x1_intrawave_v1
304,36864,4096,512,7462,3,280.9923,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_1x2_intrawave_v1
304,36864,4608,7168,7067,3,2919.5716,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_4_1x4_intrawave_v3
304,36864,7168,256,7333,1,338.33,a8w8_blockscale_1x128x128_256x128x128x128_16x8_16x16_8x32x1_8x32x1_1x8x1x32_4_2x4_intrawave_v1
304,36864,7168,2048,7107,0,1309.2406,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x2_intrawave_v3
304,36864,7168,2304,7460,3,1425.0429,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x1_intrawave_v1
304,65536,256,7168,7107,3,378.8324,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x2_intrawave_v3
304,65536,512,7168,7067,3,634.684,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_4_1x4_intrawave_v3
304,65536,576,7168,7460,3,854.8033,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x1_intrawave_v1
304,65536,1536,7168,7067,3,1787.167,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_4_1x4_intrawave_v3
304,65536,3072,1536,7460,1,818.8828,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x1_intrawave_v1
304,65536,4096,512,7462,1,499.1279,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_1x2_intrawave_v1
304,65536,4608,7168,7107,2,5179.701,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x2_intrawave_v3
304,65536,7168,256,7068,0,585.7215,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_4_2x4_intrawave_v1
304,65536,7168,2048,7107,3,2304.8968,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x2_intrawave_v3
304,65536,7168,2304,7460,3,2553.4409,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x1_intrawave_v1
